horizon,model,RMSE,Rsquared,MAE,mtry,splitrule,min.node.size,Resample
3,rf_roll3_caret_cv,0.76092970945499006,0.6899635321365722,0.27481346799805006,1,variance,5,Fold2
3,rf_roll3_caret_cv,0.7561814129939699,0.6951827458992341,0.27395252061034076,1,variance,10,Fold2
3,rf_roll3_caret_cv,0.7497502641808568,0.701853110715033,0.27243463500086906,1,variance,20,Fold2
3,rf_roll3_caret_cv,0.7969561475933019,0.673345230879769,0.2865168578846278,1,variance,5,Fold3
3,rf_roll3_caret_cv,0.7750788953618727,0.6940353137759787,0.2834130253353911,1,variance,10,Fold3
3,rf_roll3_caret_cv,0.7563791016697183,0.7116940252714417,0.28094690420747415,1,variance,20,Fold3
3,rf_roll3_caret_cv,0.7553111592461526,0.784415994358505,0.27933453909275946,1,variance,5,Fold4
3,rf_roll3_caret_cv,0.7443994211129471,0.794580764211317,0.2791510878680378,1,variance,10,Fold4
3,rf_roll3_caret_cv,0.7265876478824116,0.8093058940614606,0.27799590671904667,1,variance,20,Fold4
3,rf_roll3_caret_cv,0.7836054462654065,0.7597239132171564,0.3058065819343073,1,variance,5,Fold5
3,rf_roll3_caret_cv,0.7764378707342713,0.7657005164731251,0.3042479880618614,1,variance,10,Fold5
3,rf_roll3_caret_cv,0.7635518864037808,0.775863583866479,0.30005250293975444,1,variance,20,Fold5
3,rf_roll3_caret_cv,0.8268033210745793,0.7094399111527727,0.33168885731939596,1,variance,5,Fold6
3,rf_roll3_caret_cv,0.8131558195926636,0.7202883247755941,0.32925084583007785,1,variance,10,Fold6
3,rf_roll3_caret_cv,0.7986873054187009,0.731792150534788,0.3258221367723735,1,variance,20,Fold6
3,rf_roll3_caret_cv,0.6770598556875351,0.8119022657406794,0.28083208391404796,1,variance,5,Fold7
3,rf_roll3_caret_cv,0.6719662947013935,0.816422597194116,0.27952640957225716,1,variance,10,Fold7
3,rf_roll3_caret_cv,0.6696238243700756,0.8197255583503327,0.2787606280169276,1,variance,20,Fold7
