horizon,model,RMSE,Rsquared,MAE,mtry,splitrule,min.node.size,Resample
3,rf_lag123_caret_cv,0.6613596901377272,0.7668631624009474,0.25159436541247926,1,variance,5,Fold2
3,rf_lag123_caret_cv,0.6778152063738582,0.7527831541845781,0.2454864358570897,2,variance,5,Fold2
3,rf_lag123_caret_cv,0.6864451050472342,0.7458693115199124,0.24558775139916333,3,variance,5,Fold2
3,rf_lag123_caret_cv,0.6776259993825909,0.7647624156768746,0.26034263867914825,1,variance,5,Fold3
3,rf_lag123_caret_cv,0.693763179145113,0.7502501409366901,0.2551414301955522,2,variance,5,Fold3
3,rf_lag123_caret_cv,0.7023982154041453,0.7433648957345349,0.2537696921442444,3,variance,5,Fold3
3,rf_lag123_caret_cv,0.668261919111402,0.8228020615171459,0.2598530459958147,1,variance,5,Fold4
3,rf_lag123_caret_cv,0.6732828035384372,0.8171394075108762,0.252249769315876,2,variance,5,Fold4
3,rf_lag123_caret_cv,0.6766461277496593,0.8143655060100173,0.25177865624142026,3,variance,5,Fold4
3,rf_lag123_caret_cv,0.6927649769506857,0.8081792329208732,0.2836694355655269,1,variance,5,Fold5
3,rf_lag123_caret_cv,0.7130711436603525,0.796017051846266,0.27967313525646775,2,variance,5,Fold5
3,rf_lag123_caret_cv,0.7297170828130481,0.78623025652681,0.28212903229128,3,variance,5,Fold5
3,rf_lag123_caret_cv,0.6736732031197339,0.8060641781727219,0.2888539060936275,1,variance,5,Fold6
3,rf_lag123_caret_cv,0.6868354052505248,0.7977428085976899,0.2830517808941595,2,variance,5,Fold6
3,rf_lag123_caret_cv,0.6935218535604525,0.7936579021537022,0.2823316204757375,3,variance,5,Fold6
3,rf_lag123_caret_cv,0.6078044359556195,0.8467328844630226,0.2644137127652555,1,variance,5,Fold7
3,rf_lag123_caret_cv,0.6306506319413415,0.8327365639759854,0.26334258927288806,2,variance,5,Fold7
3,rf_lag123_caret_cv,0.642946283413751,0.825063146142924,0.26395752345158513,3,variance,5,Fold7
3,rf_lag123_caret_cv,0.5579124447834622,0.8624932061468453,0.23949536272466188,1,variance,5,Fold8
3,rf_lag123_caret_cv,0.5683626250363845,0.8563027750124086,0.23502227512277615,2,variance,5,Fold8
3,rf_lag123_caret_cv,0.5758040735766446,0.8522344997954395,0.23588149546138898,3,variance,5,Fold8
3,rf_lag123_caret_cv,0.5637713031286274,0.8653679992347563,0.24503411863930274,1,variance,5,Fold9
3,rf_lag123_caret_cv,0.5700842744184944,0.8610836308531383,0.23723016502596664,2,variance,5,Fold9
3,rf_lag123_caret_cv,0.5792613848513664,0.8561522208918382,0.23717650829414233,3,variance,5,Fold9
4,rf_lag123_caret_cv,0.7097402313103414,0.6989500028215878,0.2573651519000018,1,variance,5,Fold1
4,rf_lag123_caret_cv,0.7139937300132673,0.6955491454009098,0.24895043189335567,2,variance,5,Fold1
4,rf_lag123_caret_cv,0.7227214474912665,0.6883745869686175,0.2499797855760548,3,variance,5,Fold1
4,rf_lag123_caret_cv,0.6585704762823829,0.817544826821484,0.2720206938673734,1,variance,5,Fold10
4,rf_lag123_caret_cv,0.658819139957898,0.8171496413453709,0.2651396680297143,2,variance,5,Fold10
